Pairs,Cosine Distance
"(5, 17)",0.010597173567671817
"(5, 18)",0.009256666718472807
"(5, 19)",0.010399538103842934
"(6, 6)",0.00872218127197078
"(6, 7)",0.010362207906254363
"(6, 8)",0.004801243883323117
"(6, 9)",0.008480433336649044
"(6, 10)",0.004721047425367283
"(6, 11)",0.0059848040019124206
"(6, 12)",0.010771254159057612
"(6, 13)",0.008619242779602495
"(6, 14)",0.00814271832682233
"(6, 15)",0.007852201965980701
"(6, 16)",0.009835234749348254
"(6, 17)",0.008809625332971029
"(6, 18)",0.011464726245849445
"(6, 19)",0.007809327615063231
"(7, 7)",0.006750355873194359
"(7, 8)",0.009150474765247973
"(7, 9)",0.009262297772829546
"(7, 10)",0.007602227697021752
"(7, 11)",0.009610667461923154
"(7, 12)",0.007108986021029127
"(7, 13)",0.010889756997553015
"(7, 14)",0.009770108504836611
"(7, 15)",0.008820803719855773
"(7, 16)",0.011563975338533317
"(7, 17)",0.007813892592694173
"(7, 18)",0.008766778994813505
"(7, 19)",0.010330940903374584
"(8, 8)",0.003863083183993415
"(8, 9)",0.008642442286138766
"(8, 10)",0.006458826604352765
"(8, 11)",0.007437186395317066
"(8, 12)",0.009568431154763458
"(8, 13)",0.006689489801349787
"(8, 14)",0.008051043639650361
"(8, 15)",0.008920681088433689
"(8, 16)",0.009524903999069665
"(8, 17)",0.007159337810948066
"(8, 18)",0.01346272841159677
"(8, 19)",0.011823145896919055
"(9, 9)",0.005751347022689581
"(9, 10)",0.007030806716092644
"(9, 11)",0.01273900886078708
"(9, 12)",0.00919571525057266
"(9, 13)",0.007605156778127016
"(9, 14)",0.007418120818790319
"(9, 15)",0.010536698128027879
"(9, 16)",0.010160523105182688
"(9, 17)",0.00787414680146116
"(9, 18)",0.007720085727604129
"(9, 19)",0.006842350823704045
"(10, 10)",0.008528153069758319
"(10, 11)",0.006217490914812479
"(10, 12)",0.009147453344475694
"(10, 13)",0.009124260588870926
"(10, 14)",0.007203312459295593
"(10, 15)",0.008198920746860256
"(10, 16)",0.006165289617246695
"(10, 17)",0.009275110432659297
"(10, 18)",0.006809272501580784
"(10, 19)",0.0077306152722698114
"(11, 11)",0.007172328976757687
"(11, 12)",0.005495414057287464
"(11, 13)",0.009885064586911506
"(11, 14)",0.011181523246906072
"(11, 15)",0.012464584942977894
"(11, 16)",0.009723237545696279
"(11, 17)",0.007675161823267034
"(11, 18)",0.005066846657733948
"(11, 19)",0.007160422056409502
"(12, 12)",0.00787547451355921
"(12, 13)",0.009080512663483049
"(12, 14)",0.01198820467077273
"(12, 15)",0.008660583621624314
"(12, 16)",0.010616648880216814
"(12, 17)",0.012263962841075112
"(12, 18)",0.007813793729669083
"(12, 19)",0.009357357964266988
"(13, 13)",0.007302679930726688
"(13, 14)",0.009411733862512628
"(13, 15)",0.010430980090281908
"(13, 16)",0.009114351840149417
"(13, 17)",0.008442420182908847
"(13, 18)",0.006803691054016656
"(13, 19)",0.011074933925071534
"(14, 14)",0.008004563051786366
"(14, 15)",0.01244957467824444
"(14, 16)",0.010863779435086726
"(14, 17)",0.009599416389093843
"(14, 18)",0.010266406434229686
"(14, 19)",0.007084555698365966
"(15, 15)",0.009227732505054095
"(15, 16)",0.00824403276016921
