Doc ID,Values
Document 1945,0.7905961871147156
Document 858,0.7421765029430389
Document 780,0.714241623878479
Document 1760,0.7058095335960388
Document 626,0.6740499138832092
Document 507,0.6651449203491211
Document 436,0.6485622525215149
Document 1230,0.6033404767513275
Document 944,0.5893024802207947
Document 1441,0.5808122158050537
