Pairs,Cosine Distance
"(4, 58)",0.011907427902592952
"(4, 59)",0.008895816674720787
"(4, 60)",0.010472654979679207
"(4, 61)",0.009547909719293776
"(4, 62)",0.011343869901745773
"(4, 63)",0.008846484115132733
"(4, 64)",0.012023544739413711
"(4, 65)",0.01080249742934001
"(4, 66)",0.007597721366476036
"(4, 67)",0.01027115217682019
"(4, 68)",0.009613951279421093
"(4, 69)",0.009580767537771137
"(4, 70)",0.011010440928986422
"(4, 71)",0.013131146708302673
"(4, 72)",0.008562400910332257
"(4, 73)",0.012208541491339616
"(4, 74)",0.01162549599982115
"(4, 75)",0.01198111332441928
"(4, 76)",0.008834086728016236
"(4, 77)",0.01162550770132788
"(4, 78)",0.006780536431085195
"(4, 79)",0.009515964078651741
"(4, 80)",0.010802927866504344
"(4, 81)",0.009082011291553959
"(4, 82)",0.011755629385712165
"(4, 83)",0.01211346906576251
"(4, 84)",0.008597581364299013
"(4, 85)",0.008008236564782566
"(4, 86)",0.009817514544489982
"(4, 87)",0.00886342596541867
"(4, 88)",0.014081182652777802
"(4, 89)",0.01039988237181494
"(5, 5)",0.0
"(5, 6)",0.011780792911021631
"(5, 7)",0.010662734531612221
"(5, 8)",0.010669952870450757
"(5, 9)",0.010934092626262175
"(5, 10)",0.012150170735826187
"(5, 11)",0.010681219372381593
"(5, 12)",0.010341717377690213
"(5, 13)",0.010386461035927103
"(5, 14)",0.009676705312577876
"(5, 15)",0.012536730959952997
"(5, 16)",0.009421378605915305
"(5, 17)",0.010629753550519799
"(5, 18)",0.013530095731505052
"(5, 19)",0.009218178599901873
"(5, 20)",0.013529360967324154
"(5, 21)",0.00861311474839843
"(5, 22)",0.01261145942357168
"(5, 23)",0.009738135373432715
"(5, 24)",0.009774572299401185
"(5, 25)",0.00904888990314482
"(5, 26)",0.00954393002404877
"(5, 27)",0.011363224033174501
"(5, 28)",0.012704861813473401
"(5, 29)",0.013571510154403709
"(5, 30)",0.011015976000518787
"(5, 31)",0.00780667641534385
"(5, 32)",0.011761848823999764
"(5, 33)",0.011639020898618891
"(5, 34)",0.009529709923045346
"(5, 35)",0.009096821397308955
"(5, 36)",0.009474977051186065
"(5, 37)",0.01259702855393269
"(5, 38)",0.011389521378429817
"(5, 39)",0.009790485938419436
"(5, 40)",0.009636079340979837
"(5, 41)",0.011055461016703029
"(5, 42)",0.012704861813473401
"(5, 43)",0.011171499433373602
"(5, 44)",0.012679645990693727
"(5, 45)",0.010270550535916013
"(5, 46)",0.010946256046042468
"(5, 47)",0.008205079568699921
"(5, 48)",0.011819136158352719
"(5, 49)",0.012406229561841295
"(5, 50)",0.013005669905784029
"(5, 51)",0.008045389409601558
"(5, 52)",0.0066199330424951165
"(5, 53)",0.008370945306642848
"(5, 54)",0.010793492565070319
"(5, 55)",0.012845359531257572
"(5, 56)",0.01121627228870944
"(5, 57)",0.010124027244183549
"(5, 58)",0.009030355321409535
"(5, 59)",0.010460489652692653
"(5, 60)",0.012389352592277995
"(5, 61)",0.011208770878758137
"(5, 62)",0.01191792690086316
"(5, 63)",0.00858764526601445
"(5, 64)",0.008556849063437325
"(5, 65)",0.009049071099307889
"(5, 66)",0.009129534258056815
"(5, 67)",0.00797346001910593
"(5, 68)",0.012318972834869914
"(5, 69)",0.008465156208069832
"(5, 70)",0.008338394990364536
"(5, 71)",0.009777319548694161
"(5, 72)",0.01098430743161581
"(5, 73)",0.009671500951711709
"(5, 74)",0.011248097577783686
"(5, 75)",0.009585829918214312
"(5, 76)",0.00895016650743873
"(5, 77)",0.011322274746842978
"(5, 78)",0.007539656060123082
"(5, 79)",0.012704861813473401
